,word,score,frequency,feature_proportion,eojeol_proportion,josa_variety,unique_josa_proportion
12718,군청,0.9995567999999999,21,0.8333333333333334,0.7142857142857143,3,1.0
12719,속력,0.548742,11,1.0,0.0,2,0.6666666666666666
12720,1대책,0.999185,6,1.0,0.6666666666666666,1,1.0
12721,놀이교육,0.99972,4,1.0,0.5,1,1.0
12722,비전2030,0.0,3,0.0,1.0,0,0.0
12723,가죽팔찌,0.0,9,0.0,1.0,0,0.0
12724,120부,0.999605,5,1.0,0.8,1,1.0
12725,스타일리시함,0.8758885,4,1.0,0.0,2,1.0
12726,격렬,0.9975258800000002,38,0.6578947368421053,0.0,8,1.0
12727,싸늘,0.9950329285714287,29,0.9655172413793104,0.0,8,1.0
12728,금산,0.8569392857142858,14,0.875,0.42857142857142855,3,0.75
12729,신일산업,0.36334,25,1.0,0.56,1,0.5
12730,인사들,0.8497012063492064,133,1.0,0.05263157894736842,13,0.9285714285714286
12731,지도자,0.7940443647058825,167,0.6390977443609023,0.20359281437125748,13,0.7647058823529411
12732,좌시,0.9906671666666665,7,1.0,0.14285714285714285,3,1.0
12733,100명,0.91380725,92,0.9552238805970149,0.2717391304347826,14,1.0
12734,페이퍼,0.999605,76,0.015625,0.15789473684210525,1,1.0
12735,관철,0.9978610714285715,23,0.6363636363636364,0.043478260869565216,11,1.0
12736,숄더백,0.62611225,4,1.0,0.0,3,0.75
12737,벚꽃,0.6661233333333333,5,0.6,0.0,1,0.5
12738,양팀,0.5997838,10,0.8333333333333334,0.4,2,0.6666666666666666
12739,50억여원,0.999867,3,1.0,0.0,1,1.0
12740,1공구,0.499236,8,1.0,0.5,2,0.6666666666666666
12741,실업팀,0.7510243888888888,39,1.0,0.5384615384615384,5,0.8333333333333334
12742,우수정책,0.9997876666666666,3,1.0,0.0,2,1.0
12743,짜왕,0.999913,3,1.0,0.6666666666666666,1,1.0
12744,야음,0.504724,21,0.05,0.047619047619047616,1,1.0
12745,의성군기관장협의회,0.0,8,0.0,1.0,0,0.0
12746,힘들기,0.62924625,12,1.0,0.6666666666666666,2,1.0
12747,원탁회의,0.9997366666666666,5,1.0,0.4,2,1.0
12748,북한인권법,0.8339002727272727,74,0.8048780487804879,0.44594594594594594,4,0.8
12749,개성,0.6482261363636365,240,0.7189542483660131,0.3625,8,0.8888888888888888
12750,상쾌,0.9971268000000001,25,1.0,0.0,4,1.0
12751,3000개,0.6847853333333332,5,1.0,0.4,3,1.0
12752,애정,0.5977685269230769,332,0.9122807017543859,0.14156626506024098,9,0.8181818181818182
12753,유족급여,0.93776,9,1.0,0.3333333333333333,1,1.0
12754,온몸,0.7909984999999999,38,1.0,0.0,7,0.875
12755,달리기,0.8084896363636364,33,1.0,0.6666666666666666,6,0.8571428571428571
12756,봇물,0.9125983529411765,19,0.9444444444444444,0.05263157894736842,3,1.0
12757,분출,0.998028,22,0.35294117647058826,0.22727272727272727,6,1.0
12758,나누미,0.35655257142857144,18,0.8235294117647058,0.05555555555555555,2,0.6666666666666666
12759,2명,0.7893498309859155,510,0.9659863945578231,0.13529411764705881,20,0.9090909090909091
12760,흡족,0.9958420666666666,32,0.9375,0.0,5,1.0
12761,술병,0.6284566500000001,22,1.0,0.09090909090909091,4,1.0
12762,부유층,0.8500536999999999,15,0.9090909090909091,0.26666666666666666,4,0.8
12763,블리블리,0.421545,4,1.0,0.25,2,0.6666666666666666
12764,교환권,0.504724,21,1.0,0.6190476190476191,1,1.0
